Учебный год;Предмет;Этап;Статус;Дата(ГГГГ-ММ-ДД);Срок первичных результатов(ДД.ММ.ГГГГ ЧЧ:ММ);Крайний срок итоговых(ДД.ММ.ГГГГ ЧЧ:ММ);Классы(напр. 4-6 или 4,5,6, пусто=все);Уровень(региональный/республиканский)
2025/2026;Чувашский язык и литература;municipal;planned;2025-11-07;2025-11-14 16:00:00;2025-11-17 16:00:00;;республиканский
2025/2026;Удмуртский язык и литература;municipal;planned;2025-11-07;2025-11-14 16:00:00;2025-11-17 16:00:00;;республиканский
2025/2026;Марийский язык и литература;municipal;planned;2025-11-07;2025-11-14 16:00:00;2025-11-17 16:00:00;;республиканский
2025/2026;Мордовский (эрзя) язык и литература;municipal;planned;2025-11-07;2025-11-14 16:00:00;2025-11-17 16:00:00;;республиканский
2025/2026;Родная (татарская) литература для обучающихся школ с русским языком обучения;municipal;planned;2025-12-11;2025-12-19 16:00:00;2025-12-22 16:00:00;;республиканский
2025/2026;Родной (татарский) язык для обучающихся школ с родным языком обучения;municipal;planned;2025-12-12;2025-12-19 16:00:00;2025-12-22 16:00:00;;республиканский
2025/2026;Татарский язык для русскоязычных обучающихся школ с русским языком обучения;municipal;planned;2025-12-13;2025-12-20 16:00:00;2025-12-23 16:00:00;;республиканский
2025/2026;Родная (татарская) литература для обучающихся школ с родным языком обучения;municipal;planned;2025-12-15;2025-12-21 16:00:00;2025-12-24 16:00:00;;республиканский
2025/2026;Родной (татарский) язык для обучающихся школ с русским языком обучения;municipal;planned;2025-12-16;2025-12-22 16:00:00;2025-12-25 16:00:00;;республиканский
2025/2026;Арабский язык;municipal;planned;2025-12-16;2025-12-22 18:00:00;2025-12-25 18:00:00;;республиканский
2025/2026;История Татарстана и татарского народа;municipal;planned;2025-12-17;2025-12-22 18:00:00;2025-12-25 18:00:00;;республиканский
2025/2026;Турецкий язык;municipal;planned;2025-12-17;2025-12-22 16:00:00;2025-12-25 16:00:00;;республиканский
2025/2026;Русский язык для учащихся школ с родным (нерусским) языком обучения;municipal;planned;2025-12-18;2025-12-23 16:00:00;2025-12-26 16:00:00;;республиканский
2025/2026;Русская литература для учащихся школ с родным (нерусским) языком обучения;municipal;planned;2025-12-19;2025-12-24 16:00:00;2025-12-27 16:00:00;;республиканский
2025/2026;Геология;municipal;planned;2025-12-20;2025-12-24 16:00:00;2025-12-27 16:00:00;;республиканский
2025/2026;"Труд (технология) ""1. Техника, технологии и техническое творчество""";municipal;planned;2025-10-23;2025-12-28 16:00:00;2025-12-31 16:00:00;;региональный
2025/2026;"Труд (технология) ""2. Культура дома, дизайн и технологии""";municipal;planned;2025-10-23;2025-12-28 16:00:00;2025-12-31 16:00:00;;региональный
2025/2026;Мордовский (мокша) язык и литература;municipal;planned;2025-11-07;2025-11-14 16:00:00;2025-11-17 16:00:00;;республиканский
