№,Код,Полное название ОО,Короткое название ОО,уровень образовательной программы,АТЕ,МСУ,is_urban
687,334082,"Муниципальное бюджетное общеобразовательное учреждение ""Туембашская основная школа"" Кукморского муниципального района Республики Татарстан",МБОУ «Туембашская ОШ»,2,33,33,0
688,341001,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия №1 г. Лаишево""","МБОУ ""Гимназия №1 г. Лаишево""",3,34,34,1
689,341002,"Муниципальное бюджетное общеобразовательное учреждение ""ЛСОШ №2 им. Героя Советского Союза Б.К.Кузнецова""","МБОУ "" ЛСОШ №2 им. Героя Советского Союза Б.К.Кузнецова""",3,34,34,1
690,342003,Муниципальное бюджетное общеобразовательное учреждение Лаишевская основная общеобразовательная школа №3 Лаишевского муниципального района Республики Татарстан,МБОУ ЛООШ №3,2,34,34,1
691,342005,"Муниципальное бюджетное общеобразовательное учреждение ""Большекабанская СОШ имени академика В.И. Андреева""","МБОУ ""Большекабанская СОШ имени академика В.И. Андреева""",3,34,34,0
692,342006,"Муниципальное бюджетное общеобразовательное учреждение ""Габишевская средняя общеобразовательная школа имени Махмута Ахметовича Гареева"" Лаишевского муниципального района Республики Татарстан","МБОУ ""Габишевская СОШ им. М.А.Гареева""",3,34,34,0
693,342009,Муниципальное Бюджетное Общеобразовательное Учреждение Каипская Основная Общеобразовательная Школа Лаишевского муниципального района Республики Татарстан,МБОУ Каипская ООШ,2,34,34,0
694,342012,"Муниципальное бюджетное общеобразовательное учреждение""Нармонская СОШ""","МБОУ""Нармонская СОШ""",3,34,34,0
695,342013,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия с этнокультурным русским компонентом имени Льва Николаевича Толстого""","МБОУ ""Гимназия с этнокультурным русским компонентом им.Л.Н.Толстого""",3,34,34,0
696,342018,"Муниципальное бюджетное общеобразовательное учреждение""СОШ пос. им. 25 Октября""","МБОУ""СОШ пос. им. 25 Октября""",3,34,34,0
697,342020,"Муниципальное бюджетное общеобразовательное учреждение ""Сокуровская СОШ им. Г.Р.Державина""","МБОУ ""Сокуровская СОШ им. Г.Р.Державина""",3,34,34,0
698,342021,Муниципальное бюджетное общеобразовательное учреждение Среднедевятовская СОШ,МБОУ Среднедевятовская СОШ,3,34,34,0
699,342022,"Муниципальное бюджетное образовательное учреждение ""Столбищенская средняя общеобразовательная школа имени Героя Советского Союза Алексея Петровича Малышева""","МБОУ ""Столбищенская СОШ им. А.П. Малышева""",3,34,34,0
700,342025,Муниципальное бюджетное общеобразовательное учреждение Ташкирменская основная общеобразовательная школа,МБОУ Ташкирменская ООШ,2,34,34,0
701,342026,Муниципальное бюджетное общеобразовательное учреждение «Многопрофильный лицей «Здоровое поколение»,МБОУ «Многопрофильный лицей «Здоровое поколение»,3,34,34,0
702,342031,Муниципальное бюджетное общеобразовательное учреждение Шуранская основная общеобразовательная школа,МБОУ ШООШ,2,34,34,0
703,344004,Муниципальное бюджетное общеобразовательное учреждение «Атабаевская СОШ имени Героя РФ Ахметшина Марата Радиковича»,МБОУ «Атабаевская СОШ имени Героя РФ Ахметшина Марата Радиковича»,3,34,34,0
704,344007,Муниципальное бюджетное общеобразовательное учреждение «Державинская основная общеобразовательная школа» Лаишевского муниципального района Республики Татарстан,"МБОУ ""Державинская ООШ""",2,34,34,0
705,344008,"Муниципальное бюджетное общеобразовательное учреждение ""ИСОШ""","МБОУ ""ИСОШ""",3,34,34,0
706,344010,"Муниципальное бюджетное общеобразовательное учреждение ""Кирбинская СОШ""","МБОУ ""Кирбинская СОШ""",3,34,34,0
707,344011,"Муниципальное бюджетное общеобразовательное учреждение ""Малоелгинская средняя общеобразовательная школа""","МБОУ ""Малоелгинская СОШ""",3,34,34,0
708,344016,Муниципальное бюджетное общеобразовательное учреждение Пелевская СОШ,МБОУ Пелевская СОШ,3,34,34,0
709,344024,"Муниципальное бюджетное общеобразовательное учреждение ""Тат.Янтыковская основная общеобразовательная школа"" Лаишевского муниципального района Республики Татарстан","МБОУ ""Тат.Янтыковская ООШ""",2,34,34,0
710,344025,"Муниципальное бюджетное общеобразовательное учреждение ""Многопрофильный лицей ""Инноватика"" с.Усады Лаишевского муниципального района Республики Татарстан","МБОУ ""Многопрофильный лицей ""Инноватика""",3,34,34,0
711,344026,"Муниципальное бюджетное общеобразовательное учреждение ""Многопрофильный лицей ""Гармония"" с. Песчаные Ковали Лаишевского муниципального района Республики Татарстан","МБОУ ""Многопрофильный лицей ""Гармония""",3,34,34,0
712,347005,"Муниципальное бюджетное общеобразовательное учреждение для детей дошкольного и младшего школьного возраста ""Усадская прогимназия"" Лаишевского муниципального района РТ","МБОУ ""Усадская прогимназия"" Лаишевского муниципального района РТ",1,34,34,0
713,347017,Муниципальное бюджетное общеобразовательное учреждение Орловская основная общеобразовательная школа Лаишевского муниципального района Республики Татарстан,МБОУ Орловская ООШ,3,34,34,0
714,347019,Муниципальное бюджетное общеобразовательное учреждение Песчано-Ковалинская СОШ,МБОУ Песчано-Ковалинская СОШ,3,34,34,0
715,347020,Муниципальное бюджетное общеобразовательное учреждение Рождественская СОШ,МБОУ Рождественская СОШ,3,34,34,0
716,351001,"Муниципальное бюджетное общеобразовательное учреждение «Основная общеобразовательная школа №1 г. Лениногорска» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «ООШ№1»,2,35,35,1
717,351002,"Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №2» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ «Средняя общеобразовательная школа №2» МО ""Лениногорский муниципальный район""РТ",2,35,35,1
718,351003,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №3 г.Лениногорска» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,"МБОУ ""Средняя общеобразовательная школа №3"" МО ""ЛМР"" РТ",3,35,35,1
719,351004,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №4 г.Лениногорска""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «СОШ №4»,3,35,35,1
720,351005,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №5""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «СОШ №5» МО «ЛМР» РТ,3,35,35,1
721,351006,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №6 г.Лениногорска имени Героя России Исламова Дамира Назировича""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ ""СОШ № 6 г.Лениногорска имени Героя России Д.Н. Исламова""",3,35,35,1
722,351007,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №7 г. Лениногорска""Муниципального образования ""Лениногорский муниципальный район"" РТ",МБОУ «СОШ №7 г. Лениногорска»,3,35,35,1
723,351008,"Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №8 г.Лениногорска» муниципального образования"" Лениногорский муниципальный район"" Республики Татарстан","МБОУ «СОШ №8 г. Лениногорска» МО ""ЛМР"" РТ",3,35,35,1
724,351010,"муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №10 г. Лениногорска» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «СОШ№10»,3,35,35,1
725,351012,Муниципальное бюджетное общеобразовательное учреждение «Лицей № 12 г.Лениногорска» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,МБОУ лицей № 12,3,35,35,1
726,352021,"Муниципальное бюджетное общеобразовательное учреждение ""Шугуровская средняя общеобразовательная школа имени Валерия Павловича Чкалова""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ «Шугуровская СОШ им.В.П.Чкалова» МО ""Лениногорский муниципальный район"" РТ",3,35,35,0
727,352022,"Муниципальное бюджетное общеобразовательное учреждение «Зеленорощинская средняя общеобразовательная школа имени М. Горького» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ «Зеленорощинская сош им. М. Горького» МО ""ЛМР"" РТ",3,35,35,0
728,352023,"Муниципальное бюджетное общеобразовательное учреждение ""Старокувакская средняя общеобразовательная школа""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «Старокувакская СОШ»,3,35,35,0
729,352024,"муниципальное бюджетное общеобразовательное учреждение «Тимяшевская средняя общеобразовательная школа» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «Тимяшевская СОШ»,3,35,35,0
730,352025,Муниципальное бюджетное общеобразовательное учреждение «Ивановская основная общеобразовательная школа»,МБОУ « Ивановская ООШ»,2,35,35,0
731,352026,"Муниципальное бюджетное общеобразовательное учреждение «Старописьмянская основная общеобразовательная школа""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ «Старописьмянская основная общеобразовательная школа""",2,35,35,0
732,352027,Муниципальное бюджетное общеобразовательное учреждение «Подлесная основная общеобразовательная школа» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,МБОУ « Подлесная ООШ»,2,35,35,0
733,352029,"Муниципальное бюджетное общеобразовательное учреждение ""Ново-Сережкинская основная общеобразовательная школа» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «Ново-Сережкинская ООШ»,2,35,35,0
734,352040,"Муниципальное бюджетное общеобразовательное учреждение ""Федотовская основная общеобразовательная школа""Муниципального образования Лениногорский муниципальный район Республики Татарстан",МБОУ «Федотовская ООШ» МО ЛМР РТ,2,35,35,0
735,353011,Муниципальное бюджетное общеобразовательное учреждение «Гимназия № 11 г. Лениногорска» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,МБОУ «Гимназия №11 г.Лениногорска»,3,35,35,1
736,354031,"Муниципальное бюджетное общеобразовательное учреждение “Урдалинская основная общеобразовательная школа""Муниципального образования “Лениногорский муниципальный район” Республики Татарстан",МБОУ «Урдалинская ООШ» МО ЛМР РТ,2,35,35,0
737,354032,Муниципальное бюджетное общеобразовательное учреждение «Зай-Каратайская начальная общеобразовательная школа» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,"МБОУ ""Зай-Каратайская НОШ"" МО ""ЛМР"" РТ",1,35,35,0
738,354033,"Муниципальное бюджетное общеобразовательное учреждение «Нижнечершилинская основная общеобразовательная школа» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «Нижнечершилинская основная общеобразовательная школа»,2,35,35,0
739,354034,"Муниципальное бюджетное общеобразовательное учреждение «Куакбашская основная общеобразовательная школа» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «Куакбашская ООШ» МО «ЛМР» РТ,2,35,35,0
740,354035,"Муниципальное бюджетное общеобразовательное учреждение ""Урмышлинская основная общеобразовательная школа""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ «Урмышлинская ООШ» МО ""ЛМР"" РТ",2,35,35,0
741,354036,Муниципальное бюджетное общеобразовательное учреждение «Керлигачская основная общеобразовательная школа» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,"МБОУ ""Керлигачская ООШ"" ЛМР РТ",2,35,35,0
742,354037,"Муниципальное бюджетное общеобразовательное учреждение «Сарабикуловская основная общеобразовательная школа» муниципального образования» ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ""Сарабикуловская ООШ""",2,35,35,0
743,354041,Муниципальное бюджетное общеобразовательное учреждение «Каркалинская основная общеобразовательная школа имени Галии и Замита Рахимовых» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,МБОУ «Каркалинская ООШ им.Галии и Замита Рахимовых»,2,35,35,0
744,354043,"Муниципальное бюджетное общеобразовательное учреждение «Старо-Иштерякская основная общеобразовательная школа» муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан",МБОУ «Старо-Иштерякская ООШ» МО ЛМР РТ,3,35,35,0
745,355001,"Муниципальное бюджетное общеобразовательное учреждение ""Новочершилинская начальная школа- детский сад"" МО "" ЛМР""РТ","МБОУ ""Новочершилинская НШДС""",1,35,35,0
746,355002,"Муниципальное бюджетное общеобразовательное учреждение «Новоиштерякская начальная общеобразовательная школа - детский сад""Муниципального образования ""Лениногорский муниципальный район"" Республики Татарстан","МБОУ «Новоиштерякская НОШДС» МО ""ЛМР"" РТ",1,35,35,0
747,355003,Муниципальное бюджетное общеобразовательное учреждение «Сугушлинская начальная общеобразовательная школа – детский сад» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,"МБОУ «Сугушлинская НOШДС» МО ""ЛМР"" РТ",1,35,35,0
748,355004,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №13 г. Лениногорска» муниципального образования «Лениногорский муниципальный район» Республики Татарстан,"МБОУ ""СОШ №13 г.Лениногорска"" МО ""ЛМР"" РТ",3,35,35,1
749,361001,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №1 города Мамадыш""","МБОУ ""СОШ №1 г. Мамадыш""""",3,36,36,1
750,361002,"Муниципальное бюджетное общеобразовательное учреждение ""Центр образования Лицей №2 имени академика Камиля Ахметовича Валиева города Мамадыш"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Центр образования Лицей №2 им.ак К.А. Валиева г. Мамадыш""",3,36,36,1
751,361003,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №3 города Мамадыш"" Мамадышского муниципального района Республики Татарстан","МБОУ ""СОШ №3 г.Мамадыш""",3,36,36,1
752,361004,"Муниципальное бюджетное общеобразовательное учреждение ""СОШ №4 г.Мамадыш""","МБОУ "" СОШ №4 г.Мамадыш""",3,36,36,1
753,362006,"Муниципальное бюджетное общеобразовательное учреждение ""Большешиинская средняя общеобразовательная школа"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Большешиинская СОШ""",3,36,36,0
754,362010,"Муниципальное бюджетное общеобразовательное учреждение ""Зверосовхозская средняя общеобразовательная школа"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Зверосовхозская СОШ""",3,36,36,0
755,362014,"Муниципальное бюджетное общеобразовательное учреждение ""Кляушская СОШ""","МБОУ ""Кляушская СОШ""",3,36,36,0
756,362015,"Муниципальное бюджетное общеобразовательное учреждение ""Красногорская СОШ""","МБОУ ""Красногорская СОШ""",3,36,36,0
757,362023,"Муниципальное бюджетное общеобразовательное учреждение ""Омарская средняя общеобразовательная школа""","МБОУ ""Омарская СОШ""",3,36,36,0
758,362025,"Муниципальное бюджетное общеобразовательное учреждение ""Сокольская средняя общеобразовательная школа"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Сокольская СОШ""",3,36,36,0
759,362027,"Муниципальное бюджетное общеобразовательное учреждение ""Тавельская СОШ""","МБОУ ""Тавельская СОШ""",3,36,36,0
760,362034,"Муниципальное бюджетное общеобразовательное учреждение ""Гришкинская основня общеобразовательная школа""","МБОУ ""Гришкинская ООШ""",2,36,36,0
761,362074,Муниципальное бюджетное образовательное учреждение «Пристань-Берсутская основная общеобразовательная школа» Мамадышского муниципального района Республики Татарстан,"МБОУ ""Пристань-Берсутская ООШ""",2,36,36,0
762,364005,Муниципальное бюджетное общеобразовательное учреждение «Албайская основная общеобразовательная школа» Мамадышского муниципального района Республики Татарстан,"МБОУ "" Албайская ООШ""",2,36,36,0
763,364007,Муниципальное бюджетное общеобразовательное учреждение «Верхнесуньская ООШ» .,МБОУ «Верхнесуньская ООШ» .,2,36,36,0
764,364009,"Муниципальное бюджетное общеобразовательное учреждение ""Дюсьметьевская средняя общеобразовательная школа""","МБОУ ""Дюсьметьевская СОШ""",3,36,36,0
765,364011,"Муниципальное бюджетное общеобразовательное учреждение ""Зюринская СОШ""","МБОУ ""Зюринская СОШ""",3,36,36,0
766,364012,"Муниципальное бюджетное общеобразовательное учреждение ""Катмышская СОШ""","МБОУ ""Катмышская СОШ""",3,36,36,0
767,364013,"муниципальное бюджетное общеобразовательное учреждение ""Кемеш - Кульская основная общеобразовательная школа""""","МБОУ ""Кемеш - Кульская ООШ""",2,36,36,0
768,364016,"Муниципальное бюджетное общеобразовательное учреждение""Куюк-Ерыксинская средняя общеобразовательная школа""","МБОУ ""Куюк-Ерыксинская СОШ""",3,36,36,0
769,364018,"Муниципальное бюджетное общеобразовательное учреждение ""Малосуньская основная общеобразовательная школа""","МБОУ ""Малосуньская ООШ""",2,36,36,0
770,364019,Муниципальное бюджетное общеобразовательное учреждение «Нижнеошминская СОШ имени Мухаметзяна Шакировича Шакирова»,МБОУ «Нижнеошминская СОШ имени Мухаметзяна Шакировича Шакирова»,3,36,36,0
771,364020,"Муниципальное бюджетное общеобразовательное учреждение ""Нижнесуньская средняя общеобразовательная школа"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Нижнесуньская СОШ""",3,36,36,0
772,364021,"Муниципальное бюджетное общеобразовательное учреждение ""Нижнеякинская СОШ"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Нижнеякинская СОШ"" Мамадышского муниципального района РТ",3,36,36,0
773,364022,"Муниципальное бюджетное общеобразовательное учреждение ""Олуязский лицей""","МБОУ ""Олуязский лицей""",3,36,36,0
774,364026,Муниципальное бюджетное общеобразовательное учреждение «Среднекирменская средняя общеобразовательная школа» Мамадышского муниципального района Республики Татарстан,"МБОУ""Среднекирменская СОШ""",3,36,36,0
775,364028,"муниципальное бюджетное общеобразовательное учреждение ""Таканышская средняя общеобразовательная школа"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Таканышская СОШ""",3,36,36,0
776,364029,Муниципальное бюджетное общеобразовательное учреждение «Усалинская средняя общеобразовательная школа» Мамадышского муниципального района Республики Татарстан,"МБОУ ""Усалинская СОШ""",3,36,36,0
777,364030,"Муниципальное бюджетное общеобразовательное учреждение ""Шадчинская СОШ""","МБОУ ""Шадчинская СОШ""",3,36,36,0
778,364031,"Муниципальное бюджетное общеобразовательное учреждение ""Владимировская ООШ""","МБОУ ""Владимировская ООШ""",2,36,36,0
779,364035,"Муниципальное бюджетное общеобразовательное учреждение ""Шемяковская основная общеобразовательная школа"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Шемяковская ООШ""",2,36,36,0
780,364037,"Муниципальное бюджетное общеобразовательное учреждение ""Никифоровская основная общеобразовательная школа""","МБОУ ""Никифоровская ООШ""",2,36,36,0
781,364038,"муниципальное бюджетное общеобразовательное учреждение ""Малокирменская основная общеобразовательная школа"" Мамадышского муниципального района Республики Татарстан","МБОУ ""Малокирменская ООШ""",2,36,36,0
782,371001,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 1 имени Героя Советского Союза М.С. Фомина г. Менделеевска» Менделеевского муниципального района Республики Татарстан,МБОУ «СОШ №1 им. Героя Советского Союза М.С. Фомина г. Менделеевска» ММР РТ,3,37,37,1
783,371002,Муниципальное бюджетное общеобразовательное учреждение «СОШ №2»,МБОУ «СОШ №2»,3,37,37,1
784,371003,"Муниципальное бюджетное общеобразовательное учреждение ""Химико-технологический лицей №3 «Потомки Менделеева»","МБОУ ""Химико-технологический лицей №3 «Потомки Менделеева»",3,37,37,1
785,371004,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 4 “Школа мужества и воинской славы”» Менделеевского муниципального района Республики Татарстан,МБОУ «СОШ № 4 “Школа мужества и воинской славы”»,3,37,37,1
786,371005,Муниципальное бюджетное общеобразовательное учреждение «Гимназия №1»,МБОУ «Гимназия №1»,3,37,37,1
787,372009, Муниципальное бюджетное общеобразовательное учреждение «Енабердинская СОШ», МБОУ « Енабердинская СОШ»,3,37,37,0
788,372010,Муниципальное бюджетное общеобразовательное учреждение Ижевская СОШ,"МБОУ ""Ижевская СОШ""",3,37,37,0
789,372011,Муниципальное бюджетное общеобразовательное учреждение «Ильнетская СОШ им.Микая»,МБОУ «Ильнетская СОШ им.Микая»,3,37,37,0
790,372013,Муниципальное бюджетное общеобразовательное учреждение «Монашевская СОШ» ММР РТ,МБОУ «Монашевская СОШ» ММР РТ,3,37,37,0
791,372017,Муниципальное бюджетное общеобразовательное учреждение «Тихоновская СОШ им.Д.Г.Щербакова»,МБОУ «Тихоновская СОШ им.Д.Г.Щербакова»,3,37,37,0
792,372021,"муниципальное бюджетное общеобразовательное учреждение ""Брюшлинская основная общеобразовательная школа"" Менделеевского муниципального района Республики Татарстан",МБОУ «Брюшлинская ООШ»,2,37,37,0
793,372023,Муниципальное бюджетное общеобразовательное учреждение «Тат.Челнинская ООШ»,МБОУ «Тат.Челнинская ООШ»,2,37,37,0
794,373006,"Муниципальное бюджетное общеобразовательное учреждение ""Татарская гимназия ""Мирас"" Менделеевского муниципального района РТ","МБОУ ""Татарская гимназия ""Мирас""",3,37,37,1
795,374007,Муниципальное бюджетное общеобразовательное учреждение «Абалачевская СОШ»,МБОУ «Абалачевская СОШ»,3,37,37,0
796,374008,Муниципальное бюджетное общеобразовательное учреждение «Бизякинская СОШ»,МБОУ «Бизякинская СОШ»,3,37,37,0
797,374014,"муниципальное бюджетное общеобразовательное учреждение ""Псеевская средняя общеобразовательная школа""",МБОУ «Псеевская СОШ»,3,37,37,0
798,374015,Муниципальное бюджетное общеобразовательное учреждение «Старо-Гришкинская ООШ»,МБОУ «Старо-Гришкинская ООШ»,2,37,37,0
799,374022,Муниципальное бюджетное общеобразовательное учреждение «Камаевская основная общеобразовательная школа»,МБОУ «Камаевская ООШ»,2,37,37,0
800,381001,"Муниципальное бюджетное общеобразовательное учреждение ""СОШ №1""","МБОУ ""СОШ №1""",3,38,38,1
801,381002,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №2"" г. Мензелинска Республики Татарстан","МБОУ ""СОШ №2"" г. Мензелинска РТ",3,38,38,1
802,381003,"Муниципальное бюджетное общеобразовательное учреждение ""СОШ №3""","МБОУ ""СОШ №3""",3,38,38,1
803,381022,"государственное автономное профессиональное образовательное учреждение ""Мензелинский педагогический колледж имени Мусы Джалиля""","ГАПОУ ""Мензелинский педагогический колледж имени Мусы Джалиля""",2,38,38,1
804,382007,"Муниципальное бюджетное общеобразовательное учреждение ""Калтаковская средняя общеобразовательная школа"" Мензелинского муниципального района Республики Татарстан","МБОУ ""Калтаковская СОШ""",3,38,38,0
805,382008,"Муниципальное бюджетное общеобразовательное учреждение ""Коноваловская ООШ им. Горячева А. А. ""","МБОУ ""Коноваловская ООШ им. Горячева А. А. """,2,38,38,0
806,382009,муниципальное бюджетное общеобразовательное учреждение «Кузембетьевская средняя общеобразовательная школа им. Х.Г. Хусаинова» Мензелинского муниципального района Республики Татарстан,"МБОУ ""Кузембетьевская СОШ им.Х.Г.Хусаинова""",3,38,38,0
807,382010,"Муниципальное бюджетное общеобразовательное учреждение ""Матвеевская ООШ","МБОУ ""Матвеевская ООШ",3,38,38,0
808,382011,"муниципальное бюджетное общеобразовательное учреждение ""Николаевская основная общеобразовательная школа имени С.А. Кузнецова"" Мензелинского муниципального района Республики Татарстан","МБОУ ""Николаевская ООШ им. С.А. Кузнецова""",2,38,38,0
809,382018,"Государственное бюджетное общеобразовательное учреждение ""Мензелинская кадетская школа-интернат имени Героя Советского Союза генерал-полковника Василия Николаевича Гордова""","ГБОУ ""Мензелинская кадетская школа-интернат""",3,38,38,0
810,383017,Муниципальное бюджетное общеобразовательное учреждение «Гимназия» г.Мензелинска Республики Татарстан,"МБОУ ""Гимназия"" г.Мензелинска РТ",3,38,38,1
811,384004,"Муниципальное бюджетное общеобразовательное учреждение ""Аюская основная общеобразовательная школа имени Р.Х.Кагирова""","МБОУ ""Аюская ООШ имени Р.Х.Кагирова""",2,38,38,0
812,384006,"Муниципальное бюджетное общеобразовательное учреждение ""Кадряковская ООШ""","МБОУ ""Кадряковская ООШ""",2,38,38,0
813,384014,"Муниципальное бюджетное общеобразовательное учреждение ""Подгорнобайларская основная общеобразовательная школа"" Мензелинского муниципального района Республики Татарстан","МБОУ ""Подгорнобайларская ООШ""",2,38,38,0
814,384015,"муниципальное бюджетное общеобразовательное учреждение ""Татарскомушугинская средняя общеобразовательная школа имени К.А.Смирновой"" Мензелинского муниципального района Республики Татарстан","МБОУ ""Татарскомушугинская СОШ им.К.А.Смирновой""",3,38,38,0
815,384016,"муниципальное бюджетное общеобразовательное учреждение ""Урусовская основная общеобразовательная школа имени Рафката Закирова"" Мензелинского муниципального района Республики Татарстан","МБОУ ""Урусовская ООШ имени Р.Закирова""",2,38,38,0
816,384017,"Муниципальное бюджетное общеобразовательное учреждение ""Верхнетакерменская основная общеобразовательная школа имени Габделхая Сабитова""","МБОУ ""Верхнетакерменская ООШ им. Г.Сабитова""",2,38,38,0
817,392004,"Муниципальное бюджетное общеобразовательное учреждение""Мари Булярская основная общеобразовательная школа"" Муслюмовского муниципального района РТ","МБОУ""Мари Булярская ООШ""",2,39,39,0
818,392005,Муниципальное бюджетное общеобразовательное учреждение Михайловская средняя общеобразовательная школа Муслюмовского муниципального района Республики Татарстан,МСОШ( Михайловская средняя общеобразовательная школа),3,39,39,0
