№,Код,Полное название ОО,Короткое название ОО,уровень образовательной программы,АТЕ,МСУ,is_urban
458,261031,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №31 с углубленным изучением отдельных предметов""","МБОУ ""Средняя общеобразовательная школа №31 с углубленным изучением отдельных предметов""",3,26,26,1
459,261032,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №32 с углубленным изучением отдельных предметов"";","МБОУ ""СОШ №32""",3,26,26,1
460,261033,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №33""","МБОУ ""Средняя школа № 33""",3,26,26,1
461,261034,Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа №34 с углубленным изучением отдельных предметов»,"МАОУ ""СОШ №34 с уиоп""",3,26,26,1
462,261035,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Средняя общеобразовательная школа №35 с углубленным изучением отдельных предметов""","МАОУ ""СОШ №35 с углубленным изучением отдельных предметов""",3,26,26,1
463,261036,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Лицей инновационных технологий №36""","МАОУ ""ЛИТ №36""",3,26,26,1
464,261037,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №37 с углубленным изучением отдельных предметов""","МБОУ ""Средняя общеобразовательная школа №37 с углубленным изучением отдельных предметов""",3,26,26,1
465,261038,"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №38""","МАОУ ""СОШ №38""",3,26,26,1
466,261039,"Муниципальное бюджетное общеобразовательное учреждение ""Начальная школа № 39""","МБОУ ""Начальная школа № 39""",1,26,26,1
467,261040,"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №40 с углубленным изучением отдельных предметов""","МАОУ ""СОШ №40 с уиоп""",3,26,26,1
468,261041,"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 41""","МБОУ ""СОШ №41""",3,26,26,1
469,261042,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №42»,"МБОУ ""СОШ №42""",3,26,26,1
470,261043,"Муниципальное бюджетое образовательное учреждение ""Средняя общеобразовательная школа № 43""","МБОУ ""Средняя школа № 43""",3,26,26,1
471,261044,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №44 с углубленным изучением отдельных предметов""","МБОУ ""Средняя школа №44""",3,26,26,1
472,261045,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №45 с углубленным изучением отдельных предметов""","МБОУ ""Средняя общеобразовательная школа №45 с углубленным изучением отдельных предметов""",3,26,26,1
